customer_id,customer_first_name,customer_last_name,customer_zip
1,janet,davis,22801
2,jeri,gruber,22801
3,russell,valenzuela,22801
4,hannah,gruber,22801
5,jeremy,harris,22801
6,russell,wilson,22801
7,manuel,lopes,22801
8,None,armenta,22801
9,manuel,connor,22801
10,william,lopes,null
11,valerie,paulson,22801
12,iva,None,22801
13,jeri,mitchell,22801
14,hannah,lopes,22801
null,kevin,wilson,22801
16,None,bullard,22801
17,hannah,valenzuela,22801
18,richard,valenzuela,22801
19,george,harris,22801
20,ada,smith,null
21,richard,diaz,22801
22,kevin,mitchell,22801
23,janet,lopes,22801
24,None,None,22801
25,russell,null,22801
26,jeri,wilson,22801
27,ada,loftis,22801
28,betty,smith,22801
29,russell,harris,22801
null,manuel,armenta,null
31,jack,harris,22801
32,None,smith,22801
33,william,diaz,22801
34,jack,harris,22801
35,ada,kienzler,22801
36,jeri,None,22801
37,russell,nieves,22801
38,russell,kienzler,22801
39,darrell,smith,22801
40,None,mitchell,null
41,darrell,edwards,22801
42,jeri,messina,22801
43,jane,valenzuela,22801
44,richard,connor,22801
null,william,forbes,22801
46,jeremy,brown,22801
47,valerie,forbes,22801
48,None,None,22801
49,abigail,wilson,22801
50,jane,null,null
51,jessica,paulson,22801
52,janet,edwards,22801
53,janet,edwards,22801
54,russell,lopes,22801
55,manuel,connor,22801
56,None,kienzler,22801
57,jessica,wilson,22801
58,william,forbes,22801
59,abigail,connor,22801
null,abigail,None,null
61,jessica,mitchell,22801
62,ada,wilson,22801
63,jane,bullard,22801
64,None,nieves,22801
65,janet,edwards,22801
66,jeri,mitchell,22801
67,jack,messina,22801
68,hannah,valenzuela,22801
69,valerie,davis,22801
70,betty,bullard,null
71,janet,messina,22801
72,None,None,22801
73,jeri,gruber,22801
74,betty,messina,22801
null,janet,null,22801
76,hannah,diaz,22801
77,jack,messina,22801
78,norma,lopes,22801
79,william,davis,22801
80,None,gruber,null
81,janet,connor,22801
82,jane,davis,22801
83,darrell,edwards,22801
84,abigail,None,22801
85,janet,armenta,22801
86,russell,edwards,22801
87,jessica,connor,22801
88,None,brown,22801
89,jack,lopes,22801
null,jeri,edwards,null
91,kevin,loftis,22801
92,valerie,davis,22801
93,william,valenzuela,22801
94,manuel,wilson,22801
95,valerie,bullard,22801
96,None,None,22801
97,valerie,loftis,22801
98,valerie,diaz,22801
99,manuel,bullard,22801
100,jane,null,null
101,jane,brown,22801
102,manuel,lopes,22801
103,norma,harris,22801
104,None,gruber,22801
null,valerie,armenta,22801
106,jessica,davis,22801
107,manuel,armenta,22801
108,jeremy,None,22801
109,iva,kienzler,22801
110,jane,edwards,null
111,norma,kienzler,22801
112,None,wilson,22801
113,kevin,harris,22801
114,hannah,wilson,22801
115,hannah,davis,22801
116,janet,davis,22801
117,richard,connor,22801
118,russell,valenzuela,22801
119,george,forbes,22801
null,None,None,null
121,jane,gruber,22801
122,george,paulson,22801
123,abigail,valenzuela,22801
124,iva,kienzler,22801
125,kevin,null,22801
126,valerie,diaz,22801
127,jane,kienzler,22801
128,None,lopes,22801
129,jessica,bullard,22801
130,richard,edwards,null
131,abigail,brown,22801
132,iva,None,22801
133,iva,wilson,22801
134,kevin,connor,22801
null,kevin,gruber,22801
136,None,loftis,22801
137,russell,harris,22801
138,norma,forbes,22801
139,kevin,wilson,22801
140,iva,wilson,null
141,george,nieves,22801
142,george,diaz,22801
143,abigail,kienzler,22801
144,None,None,22801
145,richard,harris,22801
146,jane,harris,22801
147,jane,nieves,22801
148,iva,davis,22801
149,russell,valenzuela,22801
null,abigail,null,null
151,valerie,connor,22801
152,None,kienzler,22801
153,william,brown,22801
154,ada,armenta,22801
155,norma,messina,22801
156,hannah,None,22801
157,russell,diaz,22801
158,jane,mitchell,22801
159,jane,bullard,22801
160,None,kienzler,null
161,hannah,harris,22801
162,abigail,loftis,22801
163,valerie,lopes,22801
164,ada,armenta,22801
null,abigail,edwards,22801
166,jessica,loftis,22801
167,ada,wilson,22801
168,None,None,22801
169,jane,davis,22801
170,jane,wilson,null
171,george,paulson,22801
172,abigail,forbes,22801
173,ada,smith,22801
174,jeri,diaz,22801
175,jack,null,22801
176,None,diaz,22801
177,valerie,forbes,22801
178,jane,edwards,22801
179,jeremy,kienzler,22801
null,janet,None,null
181,jack,wilson,22801
182,george,messina,22801
183,janet,harris,22801
184,None,messina,22801
185,kevin,connor,22801
186,russell,nieves,22801
187,iva,nieves,22801
188,william,brown,22801
189,jeri,diaz,22801
190,manuel,brown,null
191,valerie,davis,22801
192,None,None,22801
193,jack,armenta,22801
194,jeri,gruber,22801
null,jessica,connor,22801
196,russell,lopes,22801
197,william,bullard,22801
198,janet,harris,22801
199,norma,messina,22801
200,None,null,null
