customer_id,customer_first_name,customer_last_name,customer_zip,customer_full_name,Index,New_zip
501,panet,davis,22801,panet_davis,0,22801
502,jeri,gruber,22801,jeri_gruber,1,22802
503,russell,valenzuela,22801,russell_valenzuela,2,22803
504,hannah,gruber,22801,hannah_gruber,3,22804
505,jeremy,harris,22801,jeremy_harris,4,22805
506,russell,wilson,22801,russell_wilson,5,22806
507,manuel,lopes,22801,manuel_lopes,6,22807
508,N.A.,armenta,22801,N.A._armenta,7,22808
509,manuel,connor,22801,manuel_connor,8,22809
511,valerie,paulson,22801,valerie_paulson,10,22811
512,iva,N.A.,22801,iva_N.A.,11,22812
513,jeri,mitchell,22801,jeri_mitchell,12,22813
514,hannah,lopes,22801,hannah_lopes,13,22814
-1,kevin,wilson,22801,kevin_wilson,14,22815
516,N.A.,bullard,22801,N.A._bullard,15,22816
517,hannah,valenzuela,22801,hannah_valenzuela,16,22817
518,richard,valenzuela,22801,richard_valenzuela,17,22818
519,george,harris,22801,george_harris,18,22819
521,richard,diaz,22801,richard_diaz,20,22821
522,kevin,mitchell,22801,kevin_mitchell,21,22822
523,panet,lopes,22801,panet_lopes,22,22823
524,N.A.,N.A.,22801,N.A._N.A.,23,22824
525,russell,null,22801,russell_null,24,22825
526,jeri,wilson,22801,jeri_wilson,25,22826
527,ada,loftis,22801,ada_loftis,26,22827
528,betty,smith,22801,betty_smith,27,22828
529,russell,harris,22801,russell_harris,28,22829
531,pack,harris,22801,pack_harris,30,22831
532,N.A.,smith,22801,N.A._smith,31,22832
533,william,diaz,22801,william_diaz,32,22833
534,pack,harris,22801,pack_harris,33,22834
535,ada,kienzler,22801,ada_kienzler,34,22835
536,jeri,N.A.,22801,jeri_N.A.,35,22836
537,russell,nieves,22801,russell_nieves,36,22837
538,russell,kienzler,22801,russell_kienzler,37,22838
539,darrell,smith,22801,darrell_smith,38,22839
541,darrell,edwards,22801,darrell_edwards,40,22841
542,jeri,messina,22801,jeri_messina,41,22842
543,pane,valenzuela,22801,pane_valenzuela,42,22843
544,richard,connor,22801,richard_connor,43,22844
-1,william,forbes,22801,william_forbes,44,22845
546,jeremy,brown,22801,jeremy_brown,45,22846
547,valerie,forbes,22801,valerie_forbes,46,22847
548,N.A.,N.A.,22801,N.A._N.A.,47,22848
549,abigail,wilson,22801,abigail_wilson,48,22849
551,jessica,paulson,22801,jessica_paulson,50,22851
552,panet,edwards,22801,panet_edwards,51,22852
553,panet,edwards,22801,panet_edwards,52,22853
554,russell,lopes,22801,russell_lopes,53,22854
555,manuel,connor,22801,manuel_connor,54,22855
556,N.A.,kienzler,22801,N.A._kienzler,55,22856
557,jessica,wilson,22801,jessica_wilson,56,22857
558,william,forbes,22801,william_forbes,57,22858
559,abigail,connor,22801,abigail_connor,58,22859
561,jessica,mitchell,22801,jessica_mitchell,60,22861
562,ada,wilson,22801,ada_wilson,61,22862
563,pane,bullard,22801,pane_bullard,62,22863
564,N.A.,nieves,22801,N.A._nieves,63,22864
565,panet,edwards,22801,panet_edwards,64,22865
566,jeri,mitchell,22801,jeri_mitchell,65,22866
567,pack,messina,22801,pack_messina,66,22867
568,hannah,valenzuela,22801,hannah_valenzuela,67,22868
569,valerie,davis,22801,valerie_davis,68,22869
571,panet,messina,22801,panet_messina,70,22871
572,N.A.,N.A.,22801,N.A._N.A.,71,22872
573,jeri,gruber,22801,jeri_gruber,72,22873
574,betty,messina,22801,betty_messina,73,22874
-1,panet,null,22801,panet_null,74,22875
576,hannah,diaz,22801,hannah_diaz,75,22876
577,pack,messina,22801,pack_messina,76,22877
578,norma,lopes,22801,norma_lopes,77,22878
579,william,davis,22801,william_davis,78,22879
581,panet,connor,22801,panet_connor,80,22881
582,pane,davis,22801,pane_davis,81,22882
583,darrell,edwards,22801,darrell_edwards,82,22883
584,abigail,N.A.,22801,abigail_N.A.,83,22884
585,panet,armenta,22801,panet_armenta,84,22885
586,russell,edwards,22801,russell_edwards,85,22886
587,jessica,connor,22801,jessica_connor,86,22887
588,N.A.,brown,22801,N.A._brown,87,22888
589,pack,lopes,22801,pack_lopes,88,22889
591,kevin,loftis,22801,kevin_loftis,90,22891
592,valerie,davis,22801,valerie_davis,91,22892
593,william,valenzuela,22801,william_valenzuela,92,22893
594,manuel,wilson,22801,manuel_wilson,93,22894
595,valerie,bullard,22801,valerie_bullard,94,22895
596,N.A.,N.A.,22801,N.A._N.A.,95,22896
597,valerie,loftis,22801,valerie_loftis,96,22897
598,valerie,diaz,22801,valerie_diaz,97,22898
599,manuel,bullard,22801,manuel_bullard,98,22899
601,pane,brown,22801,pane_brown,100,22901
602,manuel,lopes,22801,manuel_lopes,101,22902
603,norma,harris,22801,norma_harris,102,22903
604,N.A.,gruber,22801,N.A._gruber,103,22904
-1,valerie,armenta,22801,valerie_armenta,104,22905
606,jessica,davis,22801,jessica_davis,105,22906
607,manuel,armenta,22801,manuel_armenta,106,22907
608,jeremy,N.A.,22801,jeremy_N.A.,107,22908
609,iva,kienzler,22801,iva_kienzler,108,22909
611,norma,kienzler,22801,norma_kienzler,110,22911
612,N.A.,wilson,22801,N.A._wilson,111,22912
613,kevin,harris,22801,kevin_harris,112,22913
614,hannah,wilson,22801,hannah_wilson,113,22914
615,hannah,davis,22801,hannah_davis,114,22915
616,panet,davis,22801,panet_davis,115,22916
617,richard,connor,22801,richard_connor,116,22917
618,russell,valenzuela,22801,russell_valenzuela,117,22918
619,george,forbes,22801,george_forbes,118,22919
621,pane,gruber,22801,pane_gruber,120,22921
622,george,paulson,22801,george_paulson,121,22922
